Token,Holder,Month 0,Month 1 ,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12,Month 13,Month 14,Month 15,Month 16,Month 17,Month 18,Month 19,Month 20,Month 21,Month 22,Month 23,Month 24,Month 25,Month 26,Month 27,Month 28,Month 29,Month 30,Month 31,Month 32,Month 33,Month 34,Month 35,Month 36
SXP,team,0.2,0.4,0.6,0.8,1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,4,4.2,4.4,4.6,4.8,5,5.2,5.4,5.6,5.8,6,6.2,6.4,6.6,6.8,7,7.2,7.4
SXP,reserve,0,0,0,0,0,0,0,0,0,0,0.4,0.8,1.2,1.6,2,2.4,2.8,3.2,3.6,4,4.4,4.8,5.2,5.6,6,6.4,6.8,7.2,7.6,8,8.4,8.8,9.2,9.6,10,10.4,10.8
SXP,founder,0,0,0,0,0,0,0,0,0,0,0,0,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALICE,LAUNCHPOOL,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
ALICE,PRIVATE SALE,2.1,2.1,2.1,4.2,4.2,4.2,6.3,6.3,6.3,8.4,8.4,8.4,10.5,10.5,10.5,12.6,12.6,12.6,14.7,14.7,14.7,16.8,16.8,16.8,18.9,18.9,18.9,21,21,21,21,21,21,21,21,21,21
ALICE,PUBLIC SALE,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
ALICE,ECOSYSTEM,4,4,4,4,4,6,6,6,6,6,8,8,8,8,8,10,10,10,10,10,12,12,12,12,12,14,14,14,14,14,16,16,16,16,16,17.2,17.2
ALICE,PLAY TO EARN ,0,0,0,0,0,0,0.33,0.67,1,1.33,1.67,2,2.33,2.67,3,3.3,3.67,4,4.33,4.67,5,5.33,5.67,6,6.33,6.67,7,7.33,7.67,8,8,8,8,8,8,8,8
ALICE,MARKETING,3,3,3,3,3,3,3,6,6,6,6,6,6,6,9,9,9,9,9,9,9,12,12,12,12,12,12,12,15,15,15,15,15,15,15,15,15
ALICE,TEAM AND ADVISORS ,4.5,4.5,4.5,4.5,6,6,6,6,7.5,7.5,7.5,7.5,9,9,9,9,10.5,10.5,10.5,10.5,12,12,12,12,13.5,13.5,13.5,13.5,15,15,15,15,15,15,15,15,15
ALICE,FOUNDATION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,1.67,2.5,3.33,4.17,5,5.83,6.67,7.5,8.33,9.17,10,10.83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXS,LAUNCHPAD SALE,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
AXS,PRIVATE SALE,0.8,0.8,0.8,0.8,0.8,0.8,1.6,1.6,1.6,1.6,1.6,1.6,2.4,2.4,2.4,2.4,2.4,2.4,3.2,3.2,3.2,3.2,3.2,3.2,4,4,4,4,4,4,4,4,4,4,4,4,4
AXS,PLAY TO EARN,1.75,1.75,1.75,3.5,3.5,3.5,7,7,7,7,7,7,9.5,9.5,9.5,9.5,9.5,9.5,12,12,12,12,12,12,13.75,13.75,13.75,13.75,13.75,13.75,15.5,15.5,15.5,15.5,15.5,15.5,16.75
AXS,STAKING REWARDS,0,0,0,0,0,0,0.85,1.69,2.54,3.38,4.23,5.08,5.92,6.77,7.61,8.46,9.3,10.15,10.75,11.36,11.96,12.57,13.17,13.78,14.38,14.98,15.59,16.19,16.8,17.4,17.82,18.25,18.67,19.09,19.51,19.94,20.36
AXS,TEAM ,4,4,4,4,4,4,4,4,4,4,4,4,6.13,6.13,6.13,6.13,6.13,6.13,8.25,8.25,8.25,8.25,8.25,8.25,10.38,10.38,10.38,10.38,10.38,10.38,12.5,12.5,12.5,12.5,12.5,12.5,14.63
AXS,ADVISORS,1.67,1.67,1.67,1.67,1.67,1.67,2.33,2.33,2.33,2.33,2.33,2.33,3.33,3.33,3.33,3.33,3.33,3.33,4.33,4.33,4.33,4.33,4.33,4.33,5.33,5.33,5.33,5.33,5.33,5.33,6.33,6.33,6.33,6.33,6.33,6.33,6.67
AXS,ECOSYSTEM FUND,3,3,3,3,3,3,3.63,3.63,3.63,3.63,3.63,3.63,4.25,4.25,4.25,4.25,4.25,4.25,4.88,4.88,4.88,4.88,4.88,4.88,5.5,5.5,5.5,5.5,5.5,5.5,6.13,6.13,6.13,6.13,6.13,6.13,6.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALPHA,LAUNCHPAD,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
ALPHA,LAUNCHPOOL,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ALPHA,PRIVATE SALE,0,3.33,3.33,3.33,6.67,6.67,6.67,10,10,10,13.33,13.33,13.33,13.33,13.33,13.33,13.33,13.33,13.33,13.33,13.33,13.33,13.33,13.33,13.33,13.33,13.33,13.33,13.33,13.33,13.33,13.33,13.33,13.33,13.33,13.33,13.33
ALPHA,LIQUIDITY MINING,0.45,1.73,3.29,5.08,7.05,9.17,11.42,13.25,14.74,15.95,16.94,17.74,18.4,18.93,19.32,19.6,19.8,19.92,19.98,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
ALPHA,TEAM & ADVISORS ,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,5.1,5.1,5.1,6.2,6.2,6.2,7.3,7.3,7.3,8.4,8.4,8.4,9.5,9.5,9.5,10.6,10.6,10.6,11.7,11.7,11.7,12.8
ALPHA,ECOSYSTEM,4.47,4.47,4.47,5.77,5.77,5.77,8.07,8.07,8.07,9.37,9.37,9.37,10.67,10.67,10.67,11.97,11.97,11.97,13.27,13.27,13.27,14.75,14.57,14.57,15.87,15.87,15.87,17.17,17.17,17.17,18.47,18.47,18.47,19.77,19.77,19.77,21.07
,,,,,,,,,,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODO,SEED SALE,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3,3.25,3.5,3.75,4,4.25,4.5,4.75,5,5.25,5.5,5.75,6
DODO,PRIVATE SALE,0,0,0,0,0,0,1,1.75,2.5,3.25,4,4.75,5.5,6.25,7,7.75,8.5,9.25,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
DODO,TEAM & ADVISORS,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,1.25,1.88,2.5,3.13,3.75,4.38,5,5.63,6.25,6.88,7.5,8.13,8.75,9.38,10,10.63,11.25,11.88,12.5,13.13,13.75,14.38,15
DODO,OPERATIONS & MARKETING,2.67,5.33,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
DODO,IDO LIQUIDITY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DODO,COMMUNITY INCENTIVES,0,0.8,1.6,2.4,3.2,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGLD,LAUNCHPAD SALE,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
EGLD,PRIVATE SALE,1.43,1.43,1.43,4.35,4.35,4.35,7.28,7.28,7.28,10.21,10.21,10.21,13.14,13.14,13.14,16.07,16.07,16.07,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
EGLD,TEAM ,0,0,0,0,0,0,1.9,1.9,1.9,1.9,1.9,1.9,3.8,3.8,3.8,3.8,3.8,3.8,6.65,6.65,6.65,6.65,6.65,6.65,9.5,9.5,9.5,9.5,9.5,9.5,12.35,12.35,12.35,12.35,12.35,12.35,15.2
EGLD,RESERVE,0,0,0,0,0,0,0,0,0,0,0,5.6,5.6,5.6,5.6,5.6,5.6,9.4,9.4,9.4,9.4,9.4,9.4,13.2,13.2,13.2,13.2,13.2,13.2,17,17,17,17,17,17,17,17
EGLD,ADVISORS,0,0,0,0,0,0,0,0,0,0,0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
EGLD,ECOSYSTEM REWARDS,3.5,3.5,3.5,3.5,3.5,3.5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
EGLD,MARKETING,6.9,6.9,6.9,6.9,6.9,6.9,7.7,7.7,7.7,7.7,7.7,7.7,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5
EGLD,COMMUNITY,0.67,0.67,0.67,0.67,0.67,0.67,1.33,1.33,1.33,1.33,1.33,1.33,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIGH,EARLY INVESTORS,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
