DATA,,,,,,,,
key,data,,,,,,,
token_name,Oxygen,,,,,,,
token_symbol,OXY,,,,,,,
start_date,01/12/2021,,,,,,,
start_tokens,10000000000,,,,,,,
emission_schedule,1D,,,,,,,
emission_type,linear_unlock,,,,,,,
emission_incentive,,,,,,,,
DISTRIBUTION,,,,,,,,
entity,Community Fund,Team,Serum Ecosystem Incentives,Maps Ecosystem Incentives,Product and Tech Growth,Private Sale,IEO,Partners
type,percentage,percentage,percentage,percentage,percentage,percentage,percentage,percentage
group,community,team,community,community,team,investors,public,team
emission,unlock,unlock,unlock,unlock,unlock,unlock,unlock,unlock
t152,0,0,1.5,0,8.5,0,2,0.00
t153,0,0,1.5,0,8.5,0,2,0.00
t154,0,0,1.5,0,8.5,0,2,0.00
t155,0,0,1.5,0,8.5,0,2,0.00
t156,0,0,1.5,0,8.5,0,2,0.00
t157,0,0,1.5,0,8.5,0,2,0.00
t158,0,0,1.5,0,8.5,0,2,0.00
t159,0,0,1.5,0,8.5,0,2,0.00
t160,0,0,1.5,0,8.5,0,2,0.00
t161,0,0,1.5,0,8.5,0,2,0.00
t162,0,0,1.5,0,8.5,0,2,0.00
t163,0,0,1.5,0,8.5,0,2,0.00
t164,0,0,1.5,0,8.5,0,2,0.00
t165,0,0,1.5,0,8.5,0,2,0.00
t166,0,0,1.5,0,8.5,0,2,0.00
t167,0,0,1.5,0,8.5,0,2,0.00
t168,0,0,1.5,0,8.5,0,2,0.00
t169,0,0,1.5,0,8.5,0,2,0.00
t170,0,0,1.5,0,8.5,0,2,0.00
t171,0,0,1.5,0,8.5,0,2,0.00
t172,0,0,1.5,0,8.5,0,2,0.00
t173,0,0,1.5,0,8.5,0,2,0.00
t174,0,0,1.5,0,8.5,0,2,0.00
t175,0,0,1.5,0,8.5,0,2,0.00
t176,0,0,1.5,0,8.5,0,2,0.00
t177,0,0,1.5,0,8.5,0,2,0.00
t178,0,0,1.5,0,8.5,0,2,0.00
t179,0,0,1.5,0,8.5,0,2,0.00
t180,0,0,1.5,0,8.5,0,2,0.00
t181,0,0,1.5,0,8.5,0,2,0.00
t182,0,0,1.5,0,8.5,0,2,0.00
t183,0,0,1.5,0,8.5,0,2,0.00
t184,0,0,1.5,0,8.5,0,2,0.00
t185,0,0,1.5,0,8.5,0,2,0.00
t186,0,0,1.5,0,8.5,0,2,0.00
t187,0,0,1.5,0,8.5,0,2,0.00
t188,0,0,1.5,0,8.5,0,2,0.00
t189,0,0,1.5,0,8.5,0,2,0.00
t190,0,0,1.5,0,8.5,0,2,0.00
t191,0,0,1.5,0,8.5,0,2,0.00
t192,0,0,1.5,0,8.5,0,2,0.00
t193,0,0,1.5,0,8.5,0,2,0.00
t194,0,0,1.5,0,8.5,0,2,0.00
t195,0,0,1.5,0,8.5,0,2,0.00
t196,0,0,1.5,0,8.5,0,2,0.00
t197,0,0,1.5,0,8.5,0,2,0.00
t198,0,0,1.5,0,8.5,0,2,0.00
t199,0,0,1.5,0,8.5,0,2,0.00
t200,0,0,1.5,0,8.5,0,2,0.00
t201,0,0,1.5,0,8.5,0,2,0.00
t202,0,0,1.5,0,8.5,0,2,0.00
t203,0,0,1.5,0,8.5,0,2,0.00
t204,0,0,1.5,0,8.5,0,2,0.00
t205,0,0,1.5,0,8.5,0,2,0.00
t206,0,0,1.5,0,8.5,0,2,0.00
