DATA,,,,
key,data,,,,,
token_name,Genopets,,,
token_symbol,GENE,,,
start_date,19/11/2021,,,
start_tokens,100000000,,,
emission_schedule,1D,,,
emission_type,linear_unlock,,,
emission_incentive,,,,
DISTRIBUTION,,,,
entity,private sale,public sale,team & advisors,community treasure and P2E
type,percentage,percentage,percentage,percentage
group,investors,public,team,community
emission,unlock,unlock,unlock,unlock
allocation,32.5,1.5,25,41
t207,0.00,1.50,0.00,6.42
t208,0.00,1.50,0.00,6.44
t209,0.00,1.50,0.00,6.46
t210,0.00,1.50,0.00,6.49
t211,0.00,1.50,0.00,6.51
t212,0.00,1.50,0.00,6.53
t213,0.00,1.50,0.00,6.55
t214,0.00,1.50,0.00,6.57
t215,0.00,1.50,0.00,6.59
t216,0.00,1.50,0.00,6.61
t217,0.00,1.50,0.00,6.63
t218,0.00,1.50,0.00,6.66
t219,0.00,1.50,0.00,6.68
t220,0.00,1.50,0.00,6.70
t221,0.00,1.50,0.00,6.72
t222,0.00,1.50,0.00,6.74
t223,0.00,1.50,0.00,6.76
t224,0.00,1.50,0.00,6.78
t225,0.00,1.50,0.00,6.81
t226,0.00,1.50,0.00,6.83
t227,0.00,1.50,0.00,6.85
t228,0.00,1.50,0.00,6.87
t229,0.00,1.50,0.00,6.89
t230,0.00,1.50,0.00,6.91
t231,0.00,1.50,0.00,6.93
t232,0.00,1.50,0.00,6.96
t233,0.00,1.50,0.00,6.98
t234,0.00,1.50,0.00,7.00
t235,0.00,1.50,0.00,7.02
t236,0.00,1.50,0.00,7.04
t237,0.00,1.50,0.00,7.06
t238,0.00,1.50,0.00,7.08
t239,0.00,1.50,0.00,7.10
t240,0.00,1.50,0.00,7.13
t241,0.00,1.50,0.00,7.15
t242,0.00,1.50,0.00,7.17
t243,0.00,1.50,0.00,7.19
t244,0.00,1.50,0.00,7.21
t245,0.00,1.50,0.00,7.23
t246,0.00,1.50,0.00,7.25
t247,0.00,1.50,0.00,7.28
t248,0.00,1.50,0.00,7.30
t249,0.00,1.50,0.00,7.32
t250,0.00,1.50,0.00,7.34
t251,0.00,1.50,0.00,7.36
t252,0.00,1.50,0.00,7.38
t253,0.00,1.50,0.00,7.40
t254,0.00,1.50,0.00,7.42
t255,0.00,1.50,0.00,7.45
t256,0.00,1.50,0.00,7.47
t257,0.00,1.50,0.00,7.49
t258,0.00,1.50,0.00,7.51
t259,0.00,1.50,0.00,7.53
t260,0.00,1.50,0.00,7.55
t261,0.00,1.50,0.00,7.57
t262,0.00,1.50,0.00,7.60
t263,0.00,1.50,0.00,7.62
t264,0.00,1.50,0.00,7.64
t265,0.00,1.50,0.00,7.66
t266,0.00,1.50,0.00,7.68
t267,0.00,1.50,0.00,7.70
t268,0.00,1.50,0.00,7.72
t269,0.00,1.50,0.00,7.75
t270,0.00,1.50,0.00,7.77
t271,0.00,1.50,0.00,7.79
t272,0.00,1.50,0.00,7.81
t273,0.00,1.50,0.00,7.83
t274,0.00,1.50,0.00,7.85
t275,0.00,1.50,0.00,7.87
t276,0.00,1.50,0.00,7.89
t277,0.00,1.50,0.00,7.92
t278,0.00,1.50,0.00,7.94
t279,0.00,1.50,0.00,7.96
t280,0.00,1.50,0.00,7.98
t281,0.00,1.50,0.00,8.00
t282,0.00,1.50,0.00,8.02
t283,0.00,1.50,0.00,8.04
t284,0.00,1.50,0.00,8.07
t285,0.00,1.50,0.00,8.09
t286,0.00,1.50,0.00,8.11
t287,0.00,1.50,0.00,8.13
t288,0.00,1.50,0.00,8.15
t289,0.00,1.50,0.00,8.17
t290,0.00,1.50,0.00,8.19
t291,0.00,1.50,0.00,8.22
t292,0.00,1.50,0.00,8.24
t293,0.00,1.50,0.00,8.26
t294,0.00,1.50,0.00,8.28
t295,0.00,1.50,0.00,8.30
t296,0.00,1.50,0.00,8.32
t297,0.00,1.50,0.00,8.34
t298,0.00,1.50,0.00,8.36
t299,0.00,1.50,0.00,8.39
t300,0.00,1.50,0.00,8.41
t301,0.00,1.50,0.00,8.43
t302,0.00,1.50,0.00,8.45
t303,0.00,1.50,0.00,8.47
t304,0.00,1.50,0.00,8.49
t305,0.00,1.50,0.00,8.51
